timestamp,ip_address,user,action,status_code,bytes_sent,port,protocol,duration_ms,label,hour,day_of_week,is_night,action_enc,protocol_enc,sensitive_port,bytes_log,bytes_log_scaled,duration_ms_scaled,port_scaled,status_code_scaled,label_enc
2024-01-01 00:00:00,192.168.57.7,patricia70,FILE_ACCESS,200,1243,27017,HTTP,356,normal,0,0,1,3,1,0,7.126087273299125,0.5442846644861726,0.03750264103105852,0.9999999999999998,0.3976143141153081,0
2024-01-01 00:00:04,192.168.101.184,darrell32,PAGE_VIEW,200,1905,3306,TCP,152,normal,0,0,1,8,4,1,7.552762084214147,0.5768737343918613,0.0159518275934925,0.12168469402874499,0.3976143141153081,0
2024-01-01 00:00:15,192.168.235.138,oguerrero,FILE_DOWNLOAD,200,2501,27017,TCP,463,normal,0,0,1,4,4,0,7.824845691026856,0.5976552557185967,0.048806253961546586,0.9999999999999998,0.3976143141153081,0
2024-01-01 00:00:48,192.168.44.152,plane,LOGIN_SUCCESS,200,1891,443,TCP,318,normal,0,0,1,6,4,0,7.545389749611823,0.5763106415596222,0.033488273822100144,0.015631945473403467,0.3976143141153081,0
2024-01-01 00:01:39,192.168.236.98,charleshill,PAGE_VIEW,201,1899,27017,HTTPS,441,normal,0,0,1,8,2,0,7.549609165154532,0.5766329170363197,0.046482146630044366,0.9999999999999998,0.39960238568588463,0
2024-01-01 00:01:45,192.168.51.98,charleshill,FILE_DOWNLOAD,201,3088,443,HTTPS,191,normal,0,0,1,4,2,0,8.035602692918582,0.613752701576798,0.020071836044791888,0.015631945473403467,0.39960238568588463,0
2024-01-01 00:01:52,192.168.136.180,chart,PAGE_VIEW,201,1501,5432,TCP,135,normal,0,0,1,8,4,0,7.31455283232408,0.5586795083362405,0.01415592647369533,0.20043710179285817,0.39960238568588463,0
2024-01-01 00:02:00,192.168.43.188,matthewpowell,DB_QUERY,200,4463,443,HTTP,347,normal,0,0,1,2,1,0,8.403800504061147,0.6418753465033025,0.036551869849989434,0.015631945473403467,0.3976143141153081,0
2024-01-01 00:02:08,192.168.150.112,greed,FILE_DOWNLOAD,200,2257,5432,HTTP,269,normal,0,0,1,4,1,0,7.722234744709607,0.5898179163278546,0.028311852947390664,0.20043710179285817,0.3976143141153081,0
2024-01-01 00:02:12,192.168.160.15,vjones,API_CALL,200,4450,443,HTTP,270,normal,0,0,1,0,1,0,8.400884069015854,0.6416525916015949,0.028417494189731673,0.015631945473403467,0.3976143141153081,0
2024-01-01 00:02:26,192.168.42.165,plane,LOGOUT,301,1588,80,HTTPS,204,normal,0,0,1,7,2,0,7.370860166536716,0.5629802160506784,0.02144517219522502,0.002185508964291006,0.5984095427435387,0
2024-01-01 00:02:36,192.168.3.195,wdavis,LOGOUT,201,2887,8080,HTTP,120,normal,0,0,1,7,1,1,7.968319500012717,0.6086136668341918,0.012571307838580181,0.298525707512224,0.39960238568588463,0
2024-01-01 00:02:38,192.168.159.148,lchapman,FILE_DOWNLOAD,200,1724,80,TCP,363,normal,0,0,1,4,4,0,7.45298232946546,0.569252639076429,0.03824212972744559,0.002185508964291006,0.3976143141153081,0
2024-01-01 00:03:12,192.168.134.192,umason,FILE_DOWNLOAD,301,3371,8080,HTTP,80,normal,0,0,1,4,1,1,8.123261319121745,0.6204479950979814,0.008345658144939785,0.298525707512224,0.5984095427435387,0
2024-01-01 00:03:16,192.168.172.27,lisa85,FILE_DOWNLOAD,200,2917,5432,HTTPS,423,normal,0,0,1,4,2,0,7.978653729082731,0.6094029867213018,0.044580604267906186,0.20043710179285817,0.3976143141153081,0
2024-01-01 00:03:24,192.168.95.18,adamspaul,LOGIN_SUCCESS,201,2026,3306,HTTP,492,normal,0,0,1,6,1,1,7.614312146452,0.5815748773458296,0.051869849989435876,0.12168469402874499,0.39960238568588463,0
2024-01-01 00:03:46,192.168.122.182,greed,FILE_ACCESS,200,4624,3306,HTTP,125,normal,0,0,1,3,1,1,8.439231649946526,0.6445815481832682,0.01309951405028523,0.12168469402874499,0.3976143141153081,0
2024-01-01 00:04:26,192.168.37.138,jennifer17,API_CALL,200,2959,80,HTTP,199,normal,0,0,1,0,1,0,7.992944547318106,0.6104945076233287,0.02091696598351997,0.002185508964291006,0.3976143141153081,0
2024-01-01 00:04:46,192.168.159.103,lchapman,PAGE_VIEW,200,4339,3306,HTTP,136,normal,0,0,1,8,1,1,8.375629627094451,0.6397236781711518,0.01426156771603634,0.12168469402874499,0.3976143141153081,0
2024-01-01 00:04:47,192.168.79.70,christensenkeith,API_CALL,200,2908,443,TCP,334,normal,0,0,1,0,4,0,7.975564658495202,0.6091670460593613,0.03517853369955631,0.015631945473403467,0.3976143141153081,0
2024-01-01 00:04:58,192.168.25.202,rebecca62,LOGOUT,304,4725,443,HTTP,434,normal,0,0,1,7,1,0,8.460834457746854,0.6462315528133851,0.045742657933657296,0.015631945473403467,0.6043737574552683,0
2024-01-01 00:05:04,192.168.67.4,williamrivera,DB_QUERY,301,4923,8080,HTTP,99,normal,0,0,1,2,1,1,8.501876487304344,0.6493663091573371,0.010352841749418973,0.298525707512224,0.5984095427435387,0
2024-01-01 00:05:15,192.168.221.189,rebecca62,API_CALL,200,848,443,TCP,438,normal,0,0,1,0,4,0,6.744059186311348,0.5151056745052975,0.04616522290302134,0.015631945473403467,0.3976143141153081,0
2024-01-01 00:05:33,192.168.153.118,rebecca62,DB_QUERY,304,176,3306,TCP,298,normal,0,0,1,2,4,1,5.176149732573829,0.3953500444879942,0.03137544897527995,0.12168469402874499,0.6043737574552683,0
2024-01-01 00:05:36,192.168.185.148,jennifer17,PAGE_VIEW,200,1966,8080,HTTP,447,normal,0,0,1,8,1,1,7.584264818389059,0.5792798872276588,0.04711599408409043,0.298525707512224,0.3976143141153081,0
2024-01-01 00:05:45,192.168.32.87,kentfinley,API_CALL,200,4920,443,HTTP,46,normal,0,0,1,0,1,0,8.501267040865978,0.6493197601413755,0.004753855905345447,0.015631945473403467,0.3976143141153081,0
2024-01-01 00:05:52,192.168.166.44,wdavis,API_CALL,200,3064,80,HTTPS,442,normal,0,0,1,0,2,0,8.027802848370312,0.6131569558877287,0.04658778787238538,0.002185508964291006,0.3976143141153081,0
2024-01-01 00:06:24,192.168.77.39,wdavis,API_CALL,304,797,443,HTTP,295,normal,0,0,1,0,1,0,6.682108597449809,0.510373939658383,0.031058525248256922,0.015631945473403467,0.6043737574552683,0
2024-01-01 00:06:37,192.168.22.220,cooklee,LOGIN_SUCCESS,200,3964,8080,HTTPS,481,normal,0,0,1,6,2,1,8.285261134068948,0.6328214072586409,0.050707796323684766,0.298525707512224,0.3976143141153081,0
2024-01-01 00:06:44,192.168.212.14,vanderson,API_CALL,200,3263,80,HTTPS,124,normal,0,0,1,0,2,0,8.090708716083997,0.6179616541449398,0.012993872807944222,0.002185508964291006,0.3976143141153081,0
2024-01-01 00:06:46,192.168.163.239,oguerrero,DB_QUERY,204,2846,443,HTTP,29,normal,0,0,1,2,1,0,7.954021087278037,0.607521565870576,0.0029579547855482784,0.015631945473403467,0.4055666003976143,0
2024-01-01 00:06:52,192.168.84.203,christensenkeith,API_CALL,204,4762,8080,HTTPS,73,normal,0,0,1,0,2,1,8.46863300080086,0.6468271990953967,0.007606169448552714,0.298525707512224,0.4055666003976143,0
2024-01-01 00:07:00,192.168.199.224,matthewpowell,LOGIN_SUCCESS,201,3158,8080,TCP,18,normal,0,0,1,6,4,1,8.058010800802085,0.615464214362621,0.0017959011197971689,0.298525707512224,0.39960238568588463,0
2024-01-01 00:07:09,192.168.252.24,jeffrey86,LOGIN_SUCCESS,301,1352,27017,HTTP,415,normal,0,0,1,6,1,0,7.210079628170788,0.5506999312289782,0.04373547432917811,0.9999999999999998,0.5984095427435387,0
2024-01-01 00:07:12,192.168.82.139,jeffrey86,API_CALL,304,2755,3306,HTTP,67,normal,0,0,1,0,1,1,7.9215356321335495,0.6050403536182019,0.006972321994506655,0.12168469402874499,0.6043737574552683,0
2024-01-01 00:07:12,192.168.155.127,oguerrero,LOGIN_SUCCESS,200,4503,443,HTTPS,242,normal,0,0,1,6,2,0,8.412721169819527,0.6425566995913408,0.025459539404183395,0.015631945473403467,0.3976143141153081,0
2024-01-01 00:07:14,192.168.205.232,vjones,LOGOUT,200,3298,8080,HTTPS,156,normal,0,0,1,7,2,1,8.101374671228582,0.6187763109958384,0.01637439256285654,0.298525707512224,0.3976143141153081,0
2024-01-01 00:07:28,192.168.104.69,mccallemily,LOGOUT,304,3689,27017,HTTPS,72,normal,0,0,1,7,2,0,8.213381737034572,0.6273313182381326,0.007500528206211705,0.9999999999999998,0.6043737574552683,0
2024-01-01 00:08:05,192.168.231.71,jennifer17,DB_QUERY,301,4820,443,HTTPS,412,normal,0,0,1,2,2,0,8.480736654405622,0.6477516661680928,0.04341855060215508,0.015631945473403467,0.5984095427435387,0
2024-01-01 00:08:07,192.168.19.137,jennifer17,PAGE_VIEW,200,215,8080,TCP,107,normal,0,0,1,8,4,1,5.375278407684165,0.41055932834396197,0.011197971688147053,0.298525707512224,0.3976143141153081,0
2024-01-01 00:08:08,192.168.46.242,vanderson,API_CALL,200,2072,443,TCP,190,normal,0,0,1,0,4,0,7.636752112435779,0.5832888234270579,0.01996619480245088,0.015631945473403467,0.3976143141153081,0
