timestamp,ip_address,user,action,status_code,bytes_sent,port,protocol,duration_ms,label,hour,day_of_week,is_night,action_enc,protocol_enc,sensitive_port,bytes_log,bytes_log_scaled,duration_ms_scaled,port_scaled,status_code_scaled,label_enc,is_failed_login,is_large_transfer,is_odd_hour,is_conn_attempt,is_anon_user,is_client_error,is_server_error,is_success,ip_request_count,ip_failed_logins,ip_large_transfers,ip_conn_attempts,ip_unique_ports,ip_unique_actions,ip_avg_bytes,ip_max_bytes,ip_avg_duration,ip_min_duration,ip_error_rate,ip_requests_per_hour,ip_failures_per_hour,ip_ports_per_hour,heuristic_risk_score
2024-01-01 00:00:00,192.168.57.7,patricia70,FILE_ACCESS,200,1243,27017,HTTP,356,normal,0,0,1,3,1,0,7.126087273299125,0.5442846644861726,0.0375026410310585,0.9999999999999998,0.3976143141153081,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004059139189612237,0.0024542936744753456,0.060454687366957104,0.1563188022897402,0.0,0.0,0.0,0.0,0.1006
2024-01-01 00:00:04,192.168.101.184,darrell32,PAGE_VIEW,200,1905,3306,TCP,152,normal,0,0,1,8,4,1,7.552762084214147,0.5768737343918613,0.0159518275934925,0.1216846940287449,0.3976143141153081,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.006269330128519377,0.003818477060287838,0.0257145289927057,0.06649053280493175,0.0,0.0,0.0,0.0,0.1509
2024-01-01 00:00:15,192.168.235.138,oguerrero,FILE_DOWNLOAD,200,2501,27017,TCP,463,normal,0,0,1,4,4,0,7.824845691026856,0.5976552557185967,0.0488062539615465,0.9999999999999998,0.3976143141153081,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.008259169704937284,0.005046654247514795,0.07867624102403996,0.20343461030383092,0.0,0.0,0.0,0.0,0.1012
2024-01-01 00:00:48,192.168.44.152,plane,LOGIN_SUCCESS,200,1891,443,TCP,318,normal,0,0,1,6,4,0,7.545389749611823,0.5763106415596222,0.0334882738221001,0.0156319454734034,0.3976143141153081,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.006222588930415601,0.003789627260587876,0.05398348139528282,0.13958608542492293,0.0,0.0,0.0,0.0,0.1009
2024-01-01 00:01:39,192.168.236.98,charleshill,PAGE_VIEW,201,1899,27017,HTTPS,441,normal,0,0,1,8,2,0,7.549609165154532,0.5766329170363197,0.0464821466300443,0.9999999999999998,0.3996023856858846,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.006249298186474901,0.003806112860416426,0.07492975335622853,0.19374724790841039,0.0,0.0,0.0,0.0,0.1009
2024-01-01 00:01:45,192.168.51.98,charleshill,FILE_DOWNLOAD,201,3088,443,HTTPS,191,normal,0,0,1,4,2,0,8.035602692918582,0.613752701576798,0.0200718360447918,0.0156319454734034,0.3996023856858846,0,0,0,1,0,0,0,0,1,0.02564102564102564,0.0,0.0,0.0,0.02564102564102564,0.5,0.009359257188879736,0.006256285134934634,0.01788096386909999,0.008806693086745926,0.0,0.0,0.0,0.0,0.1065
2024-01-01 00:01:52,192.168.136.180,chart,PAGE_VIEW,201,1501,5432,TCP,135,normal,0,0,1,8,4,0,7.31455283232408,0.5586795083362405,0.0141559264736953,0.2004371017928581,0.3996023856858846,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0049205126975246875,0.0029859542689460753,0.022819515794851416,0.05900484368119771,0.0,0.0,0.0,0.0,0.1007
2024-01-01 00:02:00,192.168.43.188,matthewpowell,DB_QUERY,200,4463,443,HTTP,347,normal,0,0,1,2,1,0,8.403800504061147,0.6418753465033025,0.0365518698499894,0.0156319454734034,0.3976143141153081,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.014809614753480803,0.009089747605466625,0.058922033321034246,0.15235579040070454,0.0,0.0,0.0,0.0,0.1022
2024-01-01 00:02:08,192.168.150.112,greed,FILE_DOWNLOAD,200,2257,5432,HTTP,269,normal,0,0,1,4,1,0,7.722234744709607,0.5898179163278546,0.0283118529473906,0.2004371017928581,0.3976143141153081,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0074445373951286115,0.004543843452744028,0.045639031589702825,0.11800968736239542,0.0,0.0,0.0,0.0,0.1011
2024-01-01 00:02:12,192.168.160.15,vjones,API_CALL,200,4450,443,HTTP,270,normal,0,0,1,0,1,0,8.400884069015854,0.6416525916015949,0.0284174941897316,0.0156319454734034,0.3976143141153081,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.014766212212384439,0.009062958505745232,0.045809326483694256,0.11845002201673271,0.0,0.0,0.0,0.0,0.1022
