timestamp,ip_address,user,action,status_code,bytes_sent,port,protocol,duration_ms,label,hour,day_of_week,is_night,action_enc,protocol_enc,sensitive_port,bytes_log,bytes_log_scaled,duration_ms_scaled,port_scaled,status_code_scaled,label_enc,is_failed_login,is_large_transfer,is_odd_hour,is_conn_attempt,is_anon_user,is_client_error,is_server_error,is_success,ip_request_count,ip_failed_logins,ip_large_transfers,ip_conn_attempts,ip_unique_ports,ip_unique_actions,ip_avg_bytes,ip_max_bytes,ip_avg_duration,ip_min_duration,ip_error_rate,ip_requests_per_hour,ip_failures_per_hour,ip_ports_per_hour,heuristic_risk_score,score_raw,anomaly_score,prediction,threat_type,severity,confidence,description,rule_matched,final_risk
2024-01-01 00:00:00,192.168.57.7,patricia70,FILE_ACCESS,200,1243,27017,HTTP,356,normal,0,0,1,3,1,0,7.126087273299125,0.5442846644861726,0.0375026410310585,0.9999999999999998,0.3976143141153081,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0040591391896122,0.0024542936744753,0.0604546873669571,0.1563188022897402,0.0,0.0,0.0,0.0,0.1006,0.219237,0.0801,0,NORMAL,NORMAL,0.9199,No threat detected.,none,0.416
2024-01-01 00:00:04,192.168.101.184,darrell32,PAGE_VIEW,200,1905,3306,TCP,152,normal,0,0,1,8,4,1,7.552762084214147,0.5768737343918613,0.0159518275934925,0.1216846940287449,0.3976143141153081,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0062693301285193,0.0038184770602878,0.0257145289927057,0.0664905328049317,0.0,0.0,0.0,0.0,0.1509,0.207357,0.1125,0,NORMAL,NORMAL,0.8875,No threat detected.,none,0.4225
2024-01-01 00:00:15,192.168.235.138,oguerrero,FILE_DOWNLOAD,200,2501,27017,TCP,463,normal,0,0,1,4,4,0,7.824845691026856,0.5976552557185967,0.0488062539615465,0.9999999999999998,0.3976143141153081,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0082591697049372,0.0050466542475147,0.0786762410240399,0.2034346103038309,0.0,0.0,0.0,0.0,0.1012,0.205141,0.1186,0,NORMAL,NORMAL,0.8814,No threat detected.,none,0.4237
2024-01-01 00:00:48,192.168.44.152,plane,LOGIN_SUCCESS,200,1891,443,TCP,318,normal,0,0,1,6,4,0,7.545389749611823,0.5763106415596222,0.0334882738221001,0.0156319454734034,0.3976143141153081,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0062225889304156,0.0037896272605878,0.0539834813952828,0.1395860854249229,0.0,0.0,0.0,0.0,0.1009,0.224246,0.0664,0,NORMAL,NORMAL,0.9336,No threat detected.,none,0.4133
2024-01-01 00:01:39,192.168.236.98,charleshill,PAGE_VIEW,201,1899,27017,HTTPS,441,normal,0,0,1,8,2,0,7.549609165154532,0.5766329170363197,0.0464821466300443,0.9999999999999998,0.3996023856858846,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0062492981864749,0.0038061128604164,0.0749297533562285,0.1937472479084103,0.0,0.0,0.0,0.0,0.1009,0.211042,0.1025,0,NORMAL,NORMAL,0.8975,No threat detected.,none,0.4205
2024-01-01 00:01:45,192.168.51.98,charleshill,FILE_DOWNLOAD,201,3088,443,HTTPS,191,normal,0,0,1,4,2,0,8.035602692918582,0.613752701576798,0.0200718360447918,0.0156319454734034,0.3996023856858846,0,0,0,1,0,0,0,0,1,0.0256410256410256,0.0,0.0,0.0,0.0256410256410256,0.5,0.0093592571888797,0.0062562851349346,0.0178809638690999,0.0088066930867459,0.0,0.0,0.0,0.0,0.1065,0.08986,0.4336,0,NORMAL,NORMAL,0.5664,No threat detected.,none,0.4867
2024-01-01 00:01:52,192.168.136.180,chart,PAGE_VIEW,201,1501,5432,TCP,135,normal,0,0,1,8,4,0,7.31455283232408,0.5586795083362405,0.0141559264736953,0.2004371017928581,0.3996023856858846,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0049205126975246,0.002985954268946,0.0228195157948514,0.0590048436811977,0.0,0.0,0.0,0.0,0.1007,0.217083,0.086,0,NORMAL,NORMAL,0.914,No threat detected.,none,0.4172
2024-01-01 00:02:00,192.168.43.188,matthewpowell,DB_QUERY,200,4463,443,HTTP,347,normal,0,0,1,2,1,0,8.403800504061147,0.6418753465033025,0.0365518698499894,0.0156319454734034,0.3976143141153081,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0148096147534808,0.0090897476054666,0.0589220333210342,0.1523557904007045,0.0,0.0,0.0,0.0,0.1022,0.206228,0.1156,0,NORMAL,NORMAL,0.8844,No threat detected.,none,0.4231
2024-01-01 00:02:08,192.168.150.112,greed,FILE_DOWNLOAD,200,2257,5432,HTTP,269,normal,0,0,1,4,1,0,7.722234744709607,0.5898179163278546,0.0283118529473906,0.2004371017928581,0.3976143141153081,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0074445373951286,0.004543843452744,0.0456390315897028,0.1180096873623954,0.0,0.0,0.0,0.0,0.1011,0.226585,0.06,0,NORMAL,NORMAL,0.94,No threat detected.,none,0.412
2024-01-01 00:02:12,192.168.160.15,vjones,API_CALL,200,4450,443,HTTP,270,normal,0,0,1,0,1,0,8.400884069015854,0.6416525916015949,0.0284174941897316,0.0156319454734034,0.3976143141153081,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0147662122123844,0.0090629585057452,0.0458093264836942,0.1184500220167327,0.0,0.0,0.0,0.0,0.1022,0.207986,0.1108,0,NORMAL,NORMAL,0.8892,No threat detected.,none,0.4222
2024-01-01 00:02:26,192.168.42.165,plane,LOGOUT,301,1588,80,HTTPS,204,normal,0,0,1,7,2,0,7.370860166536716,0.5629802160506784,0.021445172195225,0.002185508964291,0.5984095427435387,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052109758571695,0.0031652351670815,0.0345698634802599,0.0893879348304711,0.0,0.0,0.0,0.0,0.1008,0.202806,0.125,0,NORMAL,NORMAL,0.875,No threat detected.,none,0.425
2024-01-01 00:02:36,192.168.3.195,wdavis,LOGOUT,201,2887,8080,HTTP,120,normal,0,0,1,7,1,1,7.968319500012717,0.6086136668341918,0.0125713078385801,0.298525707512224,0.3996023856858846,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0095478913097985,0.0058420844392423,0.0202650923849799,0.0523998238661382,0.0,0.0,0.0,0.0,0.1514,0.202507,0.1258,0,NORMAL,NORMAL,0.8742,No threat detected.,none,0.4252
