timestamp,ip_address,user,action,status_code,bytes_sent,port,protocol,duration_ms,label
2024-01-01 00:00:00,192.168.57.7,patricia70,FILE_ACCESS,200,1243,27017,HTTP,356,normal
2024-01-01 00:00:04,192.168.101.184,darrell32,PAGE_VIEW,200,1905,3306,TCP,152,normal
2024-01-01 00:00:15,192.168.235.138,oguerrero,FILE_DOWNLOAD,200,2501,27017,TCP,463,normal
2024-01-01 00:00:48,192.168.44.152,plane,LOGIN_SUCCESS,200,1891,443,TCP,318,normal
2024-01-01 00:01:39,192.168.236.98,charleshill,PAGE_VIEW,201,1899,27017,HTTPS,441,normal
2024-01-01 00:01:45,192.168.51.98,charleshill,FILE_DOWNLOAD,201,3088,443,HTTPS,191,normal
2024-01-01 00:01:52,192.168.136.180,chart,PAGE_VIEW,201,1501,5432,TCP,135,normal
2024-01-01 00:02:00,192.168.43.188,matthewpowell,DB_QUERY,200,4463,443,HTTP,347,normal
2024-01-01 00:02:08,192.168.150.112,greed,FILE_DOWNLOAD,200,2257,5432,HTTP,269,normal
2024-01-01 00:02:12,192.168.160.15,vjones,API_CALL,200,4450,443,HTTP,270,normal
2024-01-01 00:02:26,192.168.42.165,plane,LOGOUT,301,1588,80,HTTPS,204,normal
2024-01-01 00:02:36,192.168.3.195,wdavis,LOGOUT,201,2887,8080,HTTP,120,normal
2024-01-01 00:02:38,192.168.159.148,lchapman,FILE_DOWNLOAD,200,1724,80,TCP,363,normal
2024-01-01 00:03:12,192.168.134.192,umason,FILE_DOWNLOAD,301,3371,8080,HTTP,80,normal
2024-01-01 00:03:16,192.168.172.27,lisa85,FILE_DOWNLOAD,200,2917,5432,HTTPS,423,normal
2024-01-01 00:03:24,192.168.95.18,adamspaul,LOGIN_SUCCESS,201,2026,3306,HTTP,492,normal
2024-01-01 00:03:46,192.168.122.182,greed,FILE_ACCESS,200,4624,3306,HTTP,125,normal
2024-01-01 00:04:26,192.168.37.138,jennifer17,API_CALL,200,2959,80,HTTP,199,normal
2024-01-01 00:04:46,192.168.159.103,lchapman,PAGE_VIEW,200,4339,3306,HTTP,136,normal
2024-01-01 00:04:47,192.168.79.70,christensenkeith,API_CALL,200,2908,443,TCP,334,normal
2024-01-01 00:04:58,192.168.25.202,rebecca62,LOGOUT,304,4725,443,HTTP,434,normal
2024-01-01 00:05:04,192.168.67.4,williamrivera,DB_QUERY,301,4923,8080,HTTP,99,normal
2024-01-01 00:05:15,192.168.221.189,rebecca62,API_CALL,200,848,443,TCP,438,normal
2024-01-01 00:05:33,192.168.153.118,rebecca62,DB_QUERY,304,176,3306,TCP,298,normal
2024-01-01 00:05:36,192.168.185.148,jennifer17,PAGE_VIEW,200,1966,8080,HTTP,447,normal
2024-01-01 00:05:45,192.168.32.87,kentfinley,API_CALL,200,4920,443,HTTP,46,normal
2024-01-01 00:05:52,192.168.166.44,wdavis,API_CALL,200,3064,80,HTTPS,442,normal
2024-01-01 00:06:24,192.168.77.39,wdavis,API_CALL,304,797,443,HTTP,295,normal
2024-01-01 00:06:37,192.168.22.220,cooklee,LOGIN_SUCCESS,200,3964,8080,HTTPS,481,normal
2024-01-01 00:06:44,192.168.212.14,vanderson,API_CALL,200,3263,80,HTTPS,124,normal
2024-01-01 00:06:46,192.168.163.239,oguerrero,DB_QUERY,204,2846,443,HTTP,29,normal
2024-01-01 00:06:52,192.168.84.203,christensenkeith,API_CALL,204,4762,8080,HTTPS,73,normal
2024-01-01 00:07:00,192.168.199.224,matthewpowell,LOGIN_SUCCESS,201,3158,8080,TCP,18,normal
2024-01-01 00:07:09,192.168.252.24,jeffrey86,LOGIN_SUCCESS,301,1352,27017,HTTP,415,normal
2024-01-01 00:07:12,192.168.82.139,jeffrey86,API_CALL,304,2755,3306,HTTP,67,normal
2024-01-01 00:07:12,192.168.155.127,oguerrero,LOGIN_SUCCESS,200,4503,443,HTTPS,242,normal
2024-01-01 00:07:14,192.168.205.232,vjones,LOGOUT,200,3298,8080,HTTPS,156,normal
2024-01-01 00:07:28,192.168.104.69,mccallemily,LOGOUT,304,3689,27017,HTTPS,72,normal
2024-01-01 00:08:05,192.168.231.71,jennifer17,DB_QUERY,301,4820,443,HTTPS,412,normal
2024-01-01 00:08:07,192.168.19.137,jennifer17,PAGE_VIEW,200,215,8080,TCP,107,normal
2024-01-01 00:08:08,192.168.46.242,vanderson,API_CALL,200,2072,443,TCP,190,normal
2024-01-01 00:08:20,192.168.28.59,melaniescott,LOGIN_SUCCESS,301,3386,8080,HTTP,118,normal
2024-01-01 00:08:20,192.168.80.1,plane,FILE_DOWNLOAD,201,3949,8080,HTTP,128,normal
2024-01-01 00:08:28,192.168.150.92,williamrivera,FILE_DOWNLOAD,200,4451,3306,TCP,359,normal
2024-01-01 00:08:32,192.168.225.81,plane,LOGOUT,200,1770,3306,TCP,406,normal
2024-01-01 00:08:32,192.168.80.130,cooklee,FILE_DOWNLOAD,301,1454,80,HTTPS,174,normal
2024-01-01 00:08:39,192.168.174.91,melaniescott,PAGE_VIEW,304,2491,5432,TCP,201,normal
2024-01-01 00:09:15,192.168.230.233,wdavis,API_CALL,201,2733,5432,HTTPS,266,normal
2024-01-01 00:09:24,192.168.160.64,wdavis,LOGOUT,204,3672,8080,HTTPS,78,normal
2024-01-01 00:10:04,192.168.35.236,lisa85,API_CALL,200,4680,5432,HTTPS,187,normal
2024-01-01 00:10:15,192.168.240.201,charleshill,FILE_ACCESS,201,3356,27017,HTTP,446,normal
2024-01-01 00:10:16,192.168.216.153,lisa85,FILE_DOWNLOAD,200,3934,5432,HTTPS,293,normal
2024-01-01 00:10:20,192.168.2.229,jeffrey86,DB_QUERY,301,973,3306,HTTP,100,normal
2024-01-01 00:10:25,192.168.120.162,lchapman,FILE_ACCESS,304,840,3306,HTTP,399,normal
2024-01-01 00:10:42,192.168.102.227,vjones,FILE_ACCESS,304,4322,3306,TCP,252,normal
2024-01-01 00:10:44,192.168.99.76,qbullock,FILE_ACCESS,200,215,27017,TCP,74,normal
2024-01-01 00:10:49,192.168.161.55,darrell32,FILE_DOWNLOAD,200,3858,443,HTTPS,81,normal
2024-01-01 00:10:51,192.168.84.68,andrea68,DB_QUERY,201,1835,5432,TCP,363,normal
2024-01-01 00:11:16,192.168.79.41,jeffrey86,API_CALL,200,768,8080,HTTPS,348,normal
2024-01-01 00:11:33,192.168.242.172,oguerrero,API_CALL,304,3909,27017,HTTPS,402,normal
2024-01-01 00:12:16,192.168.52.91,jeffrey86,API_CALL,301,3429,5432,TCP,89,normal
2024-01-01 00:12:21,192.168.80.113,melaniescott,API_CALL,204,4433,80,TCP,428,normal
2024-01-01 00:13:00,192.168.255.217,patricia70,LOGOUT,204,2305,3306,TCP,305,normal
2024-01-01 00:13:30,192.168.27.173,darrell32,PAGE_VIEW,200,3398,27017,HTTPS,419,normal
2024-01-01 00:13:55,192.168.72.190,darrell32,LOGIN_SUCCESS,200,4445,443,HTTPS,224,normal
2024-01-01 00:14:00,192.168.5.175,patricia70,LOGIN_SUCCESS,201,4498,8080,TCP,184,normal
2024-01-01 00:14:30,192.168.127.224,chart,LOGIN_SUCCESS,200,4608,80,HTTP,343,normal
2024-01-01 00:14:34,192.168.145.89,williamrivera,FILE_ACCESS,304,4695,80,HTTP,382,normal
2024-01-01 00:14:35,192.168.160.148,plane,API_CALL,200,3521,8080,HTTP,217,normal
2024-01-01 00:14:56,192.168.249.40,jennifer17,FILE_ACCESS,200,579,5432,TCP,287,normal
2024-01-01 00:15:18,192.168.179.165,andrea68,FILE_DOWNLOAD,201,4492,8080,HTTP,69,normal
2024-01-01 00:15:54,192.168.91.238,cooklee,FILE_ACCESS,200,1797,5432,HTTP,395,normal
2024-01-01 00:15:56,192.168.80.113,plane,FILE_DOWNLOAD,200,2886,5432,HTTP,170,normal
2024-01-01 00:16:06,192.168.47.111,oguerrero,PAGE_VIEW,204,1165,5432,HTTP,310,normal
2024-01-01 00:16:16,192.168.2.161,patricia70,LOGOUT,200,2920,8080,HTTP,62,normal
2024-01-01 00:16:20,192.168.25.73,matthewpowell,API_CALL,301,3955,8080,TCP,14,normal
2024-01-01 00:16:28,192.168.99.93,mccallemily,FILE_ACCESS,200,4230,3306,TCP,153,normal
2024-01-01 00:16:36,192.168.138.158,wdavis,API_CALL,301,3908,3306,TCP,313,normal
2024-01-01 00:16:40,192.168.116.58,kentfinley,PAGE_VIEW,200,2789,8080,HTTP,405,normal
2024-01-01 00:16:43,192.168.54.223,darrell32,FILE_ACCESS,301,4258,5432,HTTP,88,normal
2024-01-01 00:17:03,192.168.204.248,jeffrey86,FILE_ACCESS,304,3626,80,HTTP,60,normal
2024-01-01 00:17:22,192.168.62.141,williamrivera,LOGIN_SUCCESS,301,3520,3306,TCP,168,normal
2024-01-01 00:17:30,192.168.7.249,lisa85,DB_QUERY,301,1462,3306,HTTPS,256,normal
2024-01-01 00:17:42,192.168.195.38,vjones,PAGE_VIEW,200,2287,443,HTTPS,359,normal
2024-01-01 00:17:45,192.168.139.112,matthewpowell,LOGIN_SUCCESS,200,3412,27017,HTTP,440,normal
2024-01-01 00:17:55,192.168.248.55,mccallemily,LOGOUT,204,4777,5432,HTTPS,134,normal
2024-01-01 00:18:00,192.168.75.111,qross,LOGIN_SUCCESS,200,426,8080,HTTP,359,normal
2024-01-01 00:18:15,192.168.114.178,qbullock,FILE_DOWNLOAD,201,2058,3306,TCP,403,normal
2024-01-01 00:18:24,192.168.30.59,lisa85,LOGIN_SUCCESS,301,680,5432,HTTP,152,normal
2024-01-01 00:18:51,192.168.43.62,patricia70,FILE_DOWNLOAD,200,2068,27017,HTTPS,340,normal
2024-01-01 00:19:00,192.168.185.225,melaniescott,DB_QUERY,200,574,443,TCP,494,normal
2024-01-01 00:20:00,192.168.115.207,jennifer17,LOGOUT,200,2105,3306,TCP,445,normal
2024-01-01 00:20:01,192.168.159.16,umason,API_CALL,200,3279,3306,HTTPS,404,normal
2024-01-01 00:20:24,192.168.161.240,charleshill,LOGOUT,201,2673,443,HTTPS,212,normal
2024-01-01 00:20:32,192.168.17.215,cooklee,LOGIN_SUCCESS,304,497,80,HTTPS,80,normal
2024-01-01 00:20:36,192.168.110.214,cooklee,FILE_ACCESS,200,2133,8080,HTTPS,272,normal
2024-01-01 00:20:39,192.168.124.112,umason,FILE_DOWNLOAD,200,3342,8080,TCP,183,normal
2024-01-01 00:20:45,192.168.97.234,melaniescott,PAGE_VIEW,200,3581,27017,TCP,393,normal
2024-01-01 00:21:01,192.168.121.14,lchapman,DB_QUERY,200,4991,27017,HTTP,232,normal
2024-01-01 00:21:08,192.168.203.135,jeffrey86,LOGIN_SUCCESS,200,1372,80,TCP,486,normal
2024-01-01 00:21:24,192.168.50.112,qbullock,DB_QUERY,200,4979,3306,HTTPS,25,normal
2024-01-01 00:22:03,192.168.158.49,mccallemily,LOGOUT,201,365,443,HTTPS,53,normal
2024-01-01 00:22:06,192.168.242.207,plane,LOGOUT,200,3631,8080,HTTPS,220,normal
2024-01-01 00:22:31,192.168.230.242,melaniescott,DB_QUERY,200,3780,27017,TCP,59,normal
2024-01-01 00:22:39,192.168.216.21,lchapman,FILE_DOWNLOAD,200,1311,5432,HTTPS,173,normal
2024-01-01 00:22:42,192.168.163.171,williamrivera,PAGE_VIEW,200,4541,8080,HTTPS,445,normal
2024-01-01 00:22:48,192.168.145.174,lchapman,API_CALL,200,2626,80,HTTP,212,normal
2024-01-01 00:23:00,192.168.33.80,vanderson,PAGE_VIEW,204,4406,3306,HTTPS,431,normal
